Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Sintercom,https://scanx.trade/company/sintercom-india-ltd,102.03,-0.26%,106.95,"4,390",280.87,284.17,176.6,183.85,99,-9.19%,-16.25%,-40.36%,-2.83%,26.04%,2.99,-,1.14%,4.85%,0.44,114.12,123.52,40.69,-,-
Sahyadri Industries,https://scanx.trade/company/sahyadri-industries-ltd,256.05,0.39%,257.8,"2,244",280.28,15.08,-223.75,330,211,0.89%,-2.44%,-20.15%,-29.10%,-29.10%,0.72,0.39%,7.32%,8.46%,21.69,254.3,271.8,53.25,50.00%,-
Poddar Pigments,https://scanx.trade/company/poddar-pigments-ltd,263.9,0.36%,262.65,"4,686",280,15.72,-67.35,378.95,250,2.05%,-7.21%,-26.53%,3.29%,44.56%,0.76,1.51%,9.31%,8.20%,27.86,267.06,287.71,50.27,-,-
Akiko Global Services,https://scanx.trade/company/akiko-global-servicesltd,258.8,-0.08%,260,"4,800",278.72,35.29,-3.94,299.3,62,-6.65%,-1.41%,224.92%,177.24%,177.24%,6.37,-,-,22.19%,-,270.3,156.49,44.35,-,-
Jainam Ferro Alloys,https://scanx.trade/company/jainam-ferro-alloys-ltd,236.25,-3.61%,236.25,500,276.68,28.73,-97.82,322.85,191.9,-9.57%,-6.45%,12.77%,44.19%,237.50%,1.98,-,-,11.44%,-,280.04,232.15,25.92,-,-
Krishca Strapping Solutions,https://scanx.trade/company/krishca-strapping-solutions-ltd,194.4,-3.04%,201,"18,500",275.85,24.97,25.38,319.2,150,12.37%,-7.80%,-35.19%,28.91%,28.91%,2.79,-,-,18.28%,-,191.24,223.07,56.22,-,-
Intense Technologies,https://scanx.trade/company/intense-technologies-ltd,117.06,0.92%,114.52,"14,566",275.3,26.76,40.47,149.9,79.5,-11.35%,-8.33%,-11.71%,70.27%,164.84%,1.9,0.85%,-,13.86%,-,123.85,103.22,44.15,-,-
Sundaram Brake Linings,https://scanx.trade/company/sundaram-brake-linings-ltd,699.2,-0.21%,699.35,753,275.11,-190.25,176.6,"1,440.00",651,-4.39%,-9.65%,-47.75%,127.64%,126.06%,2.89,0.21%,-,9.02%,-,734.74,776.59,48.19,-,-
Eppeltone Engineers,https://scanx.trade/company/eppeltone-engineers-ltd,212,3.47%,204.5,"33,000",274.74,24.22,2.59,267.9,160.05,10.56%,4.77%,-16.98%,-16.98%,-16.98%,3.16,-,-,29.95%,-,191.55,-,57.05,-,-
Felix Industries,https://scanx.trade/company/felix-industries-ltd,159,-0.69%,156,"15,000",273.58,15.85,41.09,220,108,-7.21%,-20.20%,2.15%,103.98%,354.29%,1.93,-,-,12.27%,-,168.91,171.61,47.53,-,-
UY Fincorp,https://scanx.trade/company/uy-fincorp-ltd,14.35,0.49%,14.55,"36,152",272.99,-,-3.94,26.84,11.16,-0.42%,-8.19%,-41.64%,-58.48%,-58.48%,1.07,-,-,2.08%,-,14.81,16.5,46.93,-,-
The Byke Hospitality,https://scanx.trade/company/the-byke-hospitality-ltd,51.92,-0.25%,53.37,"77,644",271.43,51.53,281.14,101.79,49.5,-9.91%,-23.22%,-45.75%,26.63%,165.58%,1.19,-,-,4.40%,-,57.52,71.81,41.65,-,-
Arvee Laboratories,https://scanx.trade/company/arvee-laboratories-ltd,245.91,-3.52%,264,"7,609",270.99,688.84,205.33,290.78,126.54,51.80%,40.36%,36.08%,54.56%,464.66%,8.93,-,-,6.65%,-,181.33,167.06,59.88,-,-
Pratham EPC Projects,https://scanx.trade/company/pratham-epc-projects-ltd,148.75,-0.83%,148,"6,000",270.91,19.92,-2.85,242.3,133,4.75%,7.48%,-28.55%,25.05%,25.05%,3.23,-,-,24.18%,-,156.91,157.22,44.98,-,-
AVG Logistics,https://scanx.trade/company/avg-logistics-ltd,179.16,3.07%,175.55,"72,782",269.77,12.62,41.09,394.9,156.81,-7.64%,-20.18%,-51.07%,1.56%,1.56%,1.02,0.69%,-,15.46%,-,199.11,241.07,45.41,50.00%,-
